id	word1	word2	word3	word4	word5	word6	word7	word8	word9	word10	dat
0	Car	Love	Ocean	Light	Book	Mountain	Fish	Road	Flower	Time	70.98708330165772
1	Tree	Time	Moon	Water	Book	Music	Chair	Food	Air	Hat	73.70753614675431
2	Beach	Book	Smile	Rain	Pencil	Fire	Turtle	Soccer	Flower	Moon	76.50510122378667
3	Dog	Butterfly	Brick	Music	Punch	Juice	Tornado	Hat	Mirror	Happiness	80.73574368442807
4	Fish	Desk	Love	Cloud	Key	Mirror	Table	Moon	Brush	Heart	74.26797211879776
5	Dog	hammer	justice	cookie	unicorn	politics	balloon	memory	spaceship	puzzle	80.35775296711584
6	Moon	Dog	Ball	Agony	Pleasure	Rain	CultureTransport	Love	Steam		70.33707378875641
7	Elephant	Sun	Rain	Kindness	Chair	Freedom	Intelligence	Tree	Step	Cookie/Biscuit	77.49805533814998
8	Dog	Sales	Sunset	Anger	Friendship	Airplane	Chocolate	Freedom	Whistle	Memories	80.52266247215725
9	Table	Thunder	Money	Happiness	Enemy	Shoe	Dream	Chair	Pollution	Ocean	76.38146983725684
10	Apple	Love	Car	Music	Brick	Time	Freedom	Ocean	Paper	Happiness	72.67568522975559
11	Time	Love	Banana	Freedom	Juice	Elephant	University	Moon	Happiness	Chair	74.2272257450081
12	Dog	Happiness	Democracy	Mountain	volcanism	Music	War	Ocean			82.45147664731901
13	robot	love	chair	money	ocean	book	lightning	music	family	mirror	78.55449829782758
14	Flower	Lion	Hammer	Mirror	Water	Scissors	Knowledge	Mountain	Game	Music	79.15039044760522
15	Tree	Happiness	Whale	Keyboard	Carrot	Beach	Raincoat	Hammer	Chair	Backpack	82.39743070943015
16	Dog	Guitar	Silence	Happiness	Tree	Wind	Bridge	Frustration	Piano	Flower	75.2375968864986
17	Dog	Lightsaber	Ballet	Chair	Galaxy	Tree	Dinosaur	Harmony	Karma	Cashew	81.47240327227684
18	Sunflower	Apple	Freedom	violin	currency	MInd	atmosphere	road	whist	mouse	82.12164576564517
19	Book	Cloud	Elephant	Joy	Ford	Song	Tomato	Dragon	Friendship	Coffee	82.69554046647889
20	Cat	Mango	Table	Trust	Pencil	Courage	Bicycle	Love	Diamond	River	82.30709965739932
21	Dog	Chair	Destiny	Butterfly	Ticket	Dream	Mountain	Diamond	Silence	Laughter	75.636004869427
22	Book	Chair	Cloud	Game	Flower	Mountain	Spoon	Candle	Time	Door	81.15966298750469
23	Car	Tree	Love	Computer	Fish	Confidence	Lamp	Airplane	Freedom	Chair	78.17809564017114
24	Bird	Chair	Love	Rain	Mountain	Bike	Hat	Dog	Paper	Ball	70.9106045109885
